mapped_veh_id,num_occurrences
128,4795
114,3864
181,2505
191,2333
170,1972
177,1835
117,1828
150,1826
162,1719
172,1660
164,1625
192,1434
137,1409
175,1394
178,1305
154,1299
186,1263
125,1242
122,1236
138,1191
142,1135
136,1132
180,1102
187,1094
190,1000
157,998
139,990
135,988
108,982
146,980
116,944
145,903
110,900
168,855
151,808
119,768
134,749
147,748
152,729
141,702
130,696
143,693
115,690
153,687
166,685
140,656
123,647
194,647
189,621
173,599
109,588
169,580
176,565
112,557
165,550
185,541
149,538
163,537
167,536
106,535
159,529
102,526
171,522
174,510
184,499
131,494
161,481
121,480
183,479
156,463
196,437
124,435
126,379
197,379
160,367
182,333
179,321
148,319
133,308
111,293
188,217
105,209
158,184
104,166
155,157
113,147
103,140
120,92
107,54
127,51
144,51
129,34

